이름,주소,카테고리,위도,경도,source
위넌스터디카페 보라매점,서울 동작구 대방동 402-12,스터디카페,37.4996247886336,126.923904642165,keyword
청스터디카페,서울 관악구 신림동 1443-33,스터디카페,37.4894270816115,126.926574480345,keyword
지공스터디카페 신길점,서울 영등포구 신길동 4939,스터디카페,37.5027502803621,126.915793779973,keyword
기웅스터디카페 신림점,서울 관악구 신림동 1636-61,스터디카페,37.4802746182026,126.928003468759,keyword
그린스터디 카페 상도점,서울 동작구 상도동 250-6,스터디카페,37.4996374747286,126.932946098964,keyword
로블스터디카페 구로지점,서울 구로구 구로동 111-41,스터디카페,37.500300459875,126.888602902231,keyword
앤딩스터디카페 영등포역점,서울 영등포구 영등포동 631-13,스터디카페,37.5133589488241,126.905397257386,keyword
플랜트스터디카페 관악쑥고개라운지,서울 관악구 봉천동 1562-18,스터디카페,37.47921167574938,126.94526735544238,keyword
모하스터디카페,서울 관악구 신림동 1637-23,스터디카페,37.4819396062607,126.929369925939,keyword
4TENPC 독산점,서울 금천구 독산동 951-4,PC방,37.4794588302617,126.903472790803,keyword
4텐PC 독산점,서울 금천구 독산동 951-4,PC방,37.479500195307,126.903373245958,keyword
뉴스타게임랜드,서울 구로구 구로동 1125-4,PC방,37.4836614316585,126.901648169377,keyword
캐슬PC,서울 금천구 독산동 962-47,PC방,37.4778811890793,126.903504214684,keyword
케이투PC존,서울 관악구 신림동 1656-3,PC방,37.4826754251254,126.904574413599,keyword
스타PC,서울 금천구 독산동 953,PC방,37.4785670954725,126.900532187627,keyword
레드포스PC아레나 구로디지털점,서울 관악구 신림동 1643-6,PC방,37.4839029410268,126.902784159177,keyword
그레이pc방,서울 구로구 구로동 1129-1,PC방,37.48200686390534,126.89808547902594,keyword
하이브이알,서울 구로구 구로동 1124-54,PC방,37.48438969226548,126.89979632360475,keyword
쇼타임PC방 신림동점,서울 관악구 신림동 1485-12,PC방,37.4804596933055,126.910126222418,keyword
